-10.4,-5.5,-2.5
-30.3,1,2
3.8,12.3,15.2
5.9,13.5,20.3
9.6,16.4,23.1
12,19.4,30.6
16.1,28.2,34.1
20.6,30.3,39.8
17.2,26.2,35
15,20.8,30.9
15.9,10.1,18.5
10,3.3,5.9
-10.4,-5.5,-2.5
-30.3,1,2
3.8,12.3,15.2
5.9,13.5,20.3
9.6,16.4,23.1
12,19.4,30.6
16.1,28.2,34.1
20.6,30.3,39.8
17.2,26.2,35
15,20.8,30.9
15.9,10.1,18.5
10,3.3,5.9
-10.4,-5.5,-2.5
-30.3,1,2
3.8,12.3,15.2
5.9,13.5,20.3
9.6,16.4,23.1
12,19.4,30.6
16.1,28.2,34.1
20.6,30.3,39.8
17.2,26.2,35
15,20.8,30.9
15.9,10.1,18.5
10,3.3,5.9
-10.4,-5.5,-2.5
-30.3,1,2
3.8,12.3,15.2
5.9,13.5,20.3
9.6,16.4,23.1
12,19.4,30.6
16.1,28.2,34.1
20.6,30.3,39.8
17.2,26.2,35
15,20.8,30.9
15.9,10.1,18.5
10,3.3,5.9
-10.4,-5.5,-2.5
-30.3,1,2
3.8,12.3,15.2
5.9,13.5,20.3
9.6,16.4,23.1
12,19.4,30.6
16.1,28.2,34.1
20.6,30.3,39.8
17.2,26.2,35
15,20.8,30.9
15.9,10.1,18.5
10,3.3,5.9
-10.4,-5.5,-2.5
-30.3,1,2
3.8,12.3,15.2
5.9,13.5,20.3
9.6,16.4,23.1
12,19.4,30.6
16.1,28.2,34.1
20.6,30.3,39.8
17.2,26.2,35
15,20.8,30.9
15.9,10.1,18.5
10,3.3,5.9
-10.4,-5.5,-2.5
-30.3,1,2
3.8,12.3,15.2
5.9,13.5,20.3
9.6,16.4,23.1
12,19.4,30.6
16.1,28.2,34.1
20.6,30.3,39.8
17.2,26.2,35
15,20.8,30.9
15.9,10.1,18.5
10,3.3,5.9
-10.4,-5.5,-2.5
-30.3,1,2
3.8,12.3,15.2
5.9,13.5,20.3
9.6,16.4,23.1
12,19.4,30.6
16.1,28.2,34.1
20.6,30.3,39.8
17.2,26.2,35
15,20.8,30.9
15.9,10.1,18.5
10,3.3,5.9
-10.4,-5.5,-2.5
-30.3,1,2
3.8,12.3,15.2
5.9,13.5,20.3
9.6,16.4,23.1
12,19.4,30.6
16.1,28.2,34.1
20.6,30.3,39.8
17.2,26.2,35
15,20.8,30.9
15.9,10.1,18.5
10,3.3,5.9
-10.4,-5.5,-2.5
-30.3,1,2
3.8,12.3,15.2
5.9,13.5,20.3
9.6,16.4,23.1
12,19.4,30.6
16.1,28.2,34.1
20.6,30.3,39.8
17.2,26.2,35
15,20.8,30.9
15.9,10.1,18.5
10,3.3,5.9
-10.4,-5.5,-2.5
-30.3,1,2
3.8,12.3,15.2
5.9,13.5,20.3
9.6,16.4,23.1
12,19.4,30.6
16.1,28.2,34.1
20.6,30.3,39.8
17.2,26.2,35
15,20.8,30.9
15.9,10.1,18.5
10,3.3,5.9
